Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
16,SA,[-0.010315020367873018],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99467652  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.004968881607055664 overhead=None qpu=None
17,SA,[-0.010764515662113894],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99449124  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005251884460449219 overhead=None qpu=None
18,SA,[-0.01054934013612474],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99399279  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005244731903076172 overhead=None qpu=None
19,SA,[-0.011154168352321747],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99512543  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005382061004638672 overhead=None qpu=None
20,SA,[-0.010263434221656098],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99453301  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.006760358810424805 overhead=None qpu=None
21,SA,[-0.01065259681389108],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99450342  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.004816293716430664 overhead=None qpu=None
22,SA,[-0.010505008636588542],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99449702  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0051043033599853516 overhead=None qpu=None
23,SA,[-0.01084680025915219],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.9939064  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005026578903198242 overhead=None qpu=None
24,SA,[-0.011020067765853625],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99468623  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.00525975227355957 overhead=None qpu=None
25,SA,[-0.01131449431902709],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99476715  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005312204360961914 overhead=None qpu=None
26,SA,[-0.009978354306285908],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.9958165  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005563974380493164 overhead=None qpu=None
27,SA,[-0.01000140579876252],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99553848  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0055654048919677734 overhead=None qpu=None
28,SA,[-0.01127237161582606],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99413467  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.004998445510864258 overhead=None qpu=None
29,SA,[-0.010979636050636898],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99385176  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005175113677978516 overhead=None qpu=None
30,SA,[-0.010090513136749024],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99426482  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0054399967193603516 overhead=None qpu=None
31,SA,[-0.011120918494496479],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99510895  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005106925964355469 overhead=None qpu=None
32,SA,[-0.010239008691328877],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99469658  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0050694942474365234 overhead=None qpu=None
33,SA,[-0.010386720743921884],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.9943632  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.006207704544067383 overhead=None qpu=None
34,SA,[-0.009997184630295308],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99435773  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0047397613525390625 overhead=None qpu=None
35,SA,[-0.010512092185566146],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.9942439  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0062160491943359375 overhead=None qpu=None
36,SA,[-0.01061662996764845],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99407972  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0049016475677490234 overhead=None qpu=None
37,SA,[-0.010891167526894563],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99394762  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.007197380065917969 overhead=None qpu=None
38,SA,[-0.01077521795682479],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99409641  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.004568338394165039 overhead=None qpu=None
39,SA,[-0.010634506580190717],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99440728  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005555629730224609 overhead=None qpu=None
40,SA,[-0.009959525501965771],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99474714  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005819082260131836 overhead=None qpu=None
41,SA,[-0.0106659163495042],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99602983  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005264759063720703 overhead=None qpu=None
42,SA,[-0.010213567858375683],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99562099  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005014896392822266 overhead=None qpu=None
43,SA,[-0.011361778833711256],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99418943  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.004967212677001953 overhead=None qpu=None
44,SA,[-0.010191046971707252],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99485945  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005208492279052734 overhead=None qpu=None
45,SA,[-0.010371114460465236],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99451749  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005526065826416016 overhead=None qpu=None
46,SA,[-0.010480861859157642],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99448289  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005720615386962891 overhead=None qpu=None
47,SA,[-0.011376038796058197],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99384121  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.0051233768463134766 overhead=None qpu=None
48,SA,[-0.01109722897421861],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99426638  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005151033401489258 overhead=None qpu=None
49,SA,[-0.010561651588048449],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,[ 3.99570958  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.005220174789428711 overhead=None qpu=None
50,SA,[-0.010780189523977413],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99713133  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005678415298461914 overhead=None qpu=None
51,SA,[-0.010389287452518658],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99635926  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005710124969482422 overhead=None qpu=None
52,SA,[-0.01048595294095378],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99643102  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.007430076599121094 overhead=None qpu=None
53,SA,[-0.010563891324117947],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99668197  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006609201431274414 overhead=None qpu=None
54,SA,[-0.010931383058689903],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99616854  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.0057947635650634766 overhead=None qpu=None
55,SA,[-0.010266459910400982],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99655533  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006317138671875 overhead=None qpu=None
56,SA,[-0.011447674292931254],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99653825  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005944013595581055 overhead=None qpu=None
57,SA,[-0.010697101601628844],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99707523  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005684614181518555 overhead=None qpu=None
58,SA,[-0.011246619521241286],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.9960241  4.         4.        -4.        -2.        -2.
 -2.         2.        -0.        -2.         2.        -0.       ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.00602269172668457 overhead=None qpu=None
59,SA,[-0.011944513662626832],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99600713  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006381988525390625 overhead=None qpu=None
60,SA,[-0.010590710655868918],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99576644  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005616664886474609 overhead=None qpu=None
61,SA,[-0.011058410697252441],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99584739  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006233930587768555 overhead=None qpu=None
62,SA,[-0.010515149541529212],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99562719  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005930662155151367 overhead=None qpu=None
63,SA,[-0.010966845672882641],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99632438  4.          4.         -4.         -2.         -2.
 -2.          2.         -0.         -2.          2.         -0.        ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.006003618240356445 overhead=None qpu=None
64,SA,[-0.011277080509128012],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.9957768  4.         4.        -4.        -2.        -2.
 -2.         2.        -0.        -2.         2.        -0.       ]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0]",True,total=0.005933046340942383 overhead=None qpu=None
