Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
169,SA,[-0.011407048572124268],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99731238  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.007580995559692383 overhead=None qpu=None
170,SA,[-0.011275077926597987],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.9975141  4.         4.         4.         4.        -4.
 -2.        -2.        -2.        -2.        -2.         2.
 -0.        -0.        -0.        -2.         2.        -0.
 -0.        -0.        -2.         2.        -0.        -0.
 -0.        -2.         2.        -0.        -0.        -0.       ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.009539604187011719 overhead=None qpu=None
171,SA,[-0.012702201780896871],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99649558  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.0077021121978759766 overhead=None qpu=None
172,SA,[-0.010344126474265636],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99808963  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.007940292358398438 overhead=None qpu=None
173,SA,[-0.010151775035097899],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99809022  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.007830381393432617 overhead=None qpu=None
174,SA,[-0.011993055433293875],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99828427  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.008391857147216797 overhead=None qpu=None
175,SA,[-0.010777774473837098],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99732004  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.010295391082763672 overhead=None qpu=None
176,SA,[-0.01175053667182624],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99767182  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.008044242858886719 overhead=None qpu=None
177,SA,[-0.013349949372624792],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99730407  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.0076141357421875 overhead=None qpu=None
178,SA,[-0.01163967034025859],"{'beta_range': None, 'num_reads': None, 'num_sweeps': 1000, 'beta_schedule_type': 'geometric', 'initial_states_generator': 'random', 'n_init_samples': 1, 'timeout': 5}",AEB,"[ 3.99815103  4.          4.          4.          4.         -4.
 -2.         -2.         -2.         -2.         -2.          2.
 -0.         -0.         -0.         -2.          2.         -0.
 -0.         -0.         -2.          2.         -0.         -0.
 -0.         -2.          2.         -0.         -0.         -0.        ]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",True,total=0.011225223541259766 overhead=None qpu=None
