Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,SAGA,"[-0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904, -0.011080717245306904]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99386494  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6983332633972168 overhead=None qpu=None
1,SAGA,"[-0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825, -0.009955910369647825]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99498063  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6911077499389648 overhead=None qpu=None
2,SAGA,"[-0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779, -0.010308257714987779]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99588997  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6987853050231934 overhead=None qpu=None
3,SAGA,"[-0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332, -0.010034436231667332]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99545123  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6940970420837402 overhead=None qpu=None
4,SAGA,"[-0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291, -0.009991439692335291]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99556963  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6894464492797852 overhead=None qpu=None
5,SAGA,"[-0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549, -0.010862736816461549]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99466798  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6865298748016357 overhead=None qpu=None
6,SAGA,"[-0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133, -0.010710847499359133]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99416732  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6841995716094971 overhead=None qpu=None
7,SAGA,"[-0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627, -0.010910412148234627]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.9938957  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6809113025665283 overhead=None qpu=None
8,SAGA,"[-0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306, -0.010764362551306306]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99424642  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6803596019744873 overhead=None qpu=None
9,SAGA,"[-0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127, -0.01131624249892127]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99348616  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6816062927246094 overhead=None qpu=None
