Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,SAGA,"[-0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386, -0.011148061509553386]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99333668  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6624541282653809 overhead=None qpu=None
1,SAGA,"[-0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878, -0.010828487132593878]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99474269  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6665687561035156 overhead=None qpu=None
2,SAGA,"[-0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842, -0.010200664906642842]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.9959638  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6663920879364014 overhead=None qpu=None
3,SAGA,"[-0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123, -0.011256352836284123]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99456048  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.662132978439331 overhead=None qpu=None
4,SAGA,"[-0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347, -0.01033533068820347]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99518901  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6542794704437256 overhead=None qpu=None
5,SAGA,"[-0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904, -0.01061437167565904]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99420588  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6562557220458984 overhead=None qpu=None
6,SAGA,"[-0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535, -0.010272854716486535]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99503864  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6555676460266113 overhead=None qpu=None
7,SAGA,"[-0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745, -0.011543126650195745]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99364776  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6548519134521484 overhead=None qpu=None
8,SAGA,"[-0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544, -0.010200780173807544]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99457737  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6597878932952881 overhead=None qpu=None
9,SAGA,"[-0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556, -0.010389720647486556]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99545276  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6591103076934814 overhead=None qpu=None
10,SAGA,"[-0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394, -0.011034163185411394]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99431668  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6549258232116699 overhead=None qpu=None
