Run Number,Solver,Energie,Params,Method,Qubo,Want Result,Result,Correct,Solve Time
0,SAGA,"[-0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883, -0.010633233368472883]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.9939544  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6712121963500977 overhead=None qpu=None
1,SAGA,"[-0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545, -0.011560867326334545]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99432805  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6617686748504639 overhead=None qpu=None
2,SAGA,"[-0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664, -0.010275885868823664]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99484219  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6655187606811523 overhead=None qpu=None
3,SAGA,"[-0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901, -0.010170209691565901]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99448472  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6664419174194336 overhead=None qpu=None
4,SAGA,"[-0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347, -0.01007428994390347]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99510492  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6626389026641846 overhead=None qpu=None
5,SAGA,"[-0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676, -0.01051416872501676]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99440623  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6596107482910156 overhead=None qpu=None
6,SAGA,"[-0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104, -0.010081855024353104]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99471038  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6669180393218994 overhead=None qpu=None
7,SAGA,"[-0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575, -0.010347179605643575]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99558259  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6681568622589111 overhead=None qpu=None
8,SAGA,"[-0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404, -0.010125800963853404]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.9953096  4.        -4.        -2.        -2.         2.       ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6673862934112549 overhead=None qpu=None
9,SAGA,"[-0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563, -0.010254469589828563]","{'p_size': 40, 'p_inc_num': 0, 'p_max': -1, 'pct_random_states': 0, 'mut_rate': 1, 'rec_rate': 20, 'rec_method': 'one_point_crossover', 'select_method': 'simple', 'num_sweeps': 1000, 'num_sweeps_inc_factor': 1, 'num_sweeps_inc_max': -1, 'beta_range_type': 'default', 'beta_range': None, 'target': None, 'atol': 0, 'rtol': 0, 'timeout': 5, 'max_iter': 50, 'max_consistent_iters': -1, 'qpu_config': {}, 'return_overhead': False, 'mut_method': 'sa', 'use_qpu': False}",AEB,[ 3.99454928  4.         -4.         -2.         -2.          2.        ],"[1, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 1, 0]",True,total=0.6639261245727539 overhead=None qpu=None
